
========================================
🚗 MARCA: Alfa Romeo (9 variante de model listate)
========================================
  - Giulia  (21 anunturi)
  - Jogger 7 Locuri Eco-G  (9 anunturi)
  - Jogger 7 Locuri Hev  (1 anunturi)
  - Jogger Avariata Lovita  (1 anunturi)
  - Jogger Essentiel  (1 anunturi)
  - Jogger Plus Eco-G  (1 anunturi)
  - Ligan  (2 anunturi)
  - Lodgy  (150 anunturi)
  - Lodgy 1 5  (1 anunturi)
  - Lodgy 15Dci Blue  (1 anunturi)
  - Lodgy 7 Locuri  (1 anunturi)
  - Lodgy 7-Locuri  (1 anunturi)
  - Lodgy Ambiance  (2 anunturi)
  - Lodgy Blue  (1 anunturi)
  - Lodgy Euro6  (1 anunturi)
  - Lodgy Laureate  (12 anunturi)
  - Lodgy Sce  (1 anunturi)
  - Logan  (1633 anunturi)
  - Logan - - Echipare  (1 anunturi)
  - Logan - - Euro 6  (1 anunturi)
  - Logan - Editie Limitata  (1 anunturi)
  - Logan - Editie Limitata 10 Ani - Option  (1 anunturi)
  - Logan - Impecabila - Euro 6 - Option  (2 anunturi)
  - Logan -Ii  (3 anunturi)
  - Logan -Iii  (3 anunturi)
  - Logan 09  (2 anunturi)
  - Logan 09 Turbo  (1 anunturi)
  - Logan 09Tce  (2 anunturi)
  - Logan 09Tce Cu  (1 anunturi)
  - Logan 1 0  (1 anunturi)
  - Logan 10I  (1 anunturi)
  - Logan 10I Vindem In  (1 anunturi)
  - Logan 10Sce  (1 anunturi)
  - Logan 10Tce  (2 anunturi)
  - Logan 15Dci  (4 anunturi)
  - Logan 15Dci Euro6  (1 anunturi)
  - Logan 2  (10 anunturi)
  - Logan 25  (1 anunturi)
  - Logan 25000Km 10Sce Euro 6  (1 anunturi)
  - Logan 3  (14 anunturi)
  - Logan 3 Cu  (2 anunturi)
  - Logan 3 Cvt  (1 anunturi)
  - Logan 3 Eco-G  (1 anunturi)
  - Logan 3 Fabrica  (1 anunturi)
  - Logan 3 Gri  (1 anunturi)
  - Logan 4 Bucati Stoc  (1 anunturi)
  - Logan 59000Km  (1 anunturi)
  - Logan 77000Km  (1 anunturi)
  - Logan Ac  (1 anunturi)
  - Logan Acces  (2 anunturi)
  - Logan Ambiance  (17 anunturi)
  - Logan Avariat Gplnavicamera  (1 anunturi)
  - Logan Blackwhite  (1 anunturi)
  - Logan Blue  (1 anunturi)
  - Logan Clima  (1 anunturi)
  - Logan Confort 10I  (1 anunturi)
  - Logan Cu  (1 anunturi)
  - Logan Cu Varianta  (1 anunturi)
  - Logan Cumparata In Noiemb 2 E  (1 anunturi)
  - Logan Cvt  (1 anunturi)
  - Logan Dacia Logan  (1 anunturi)
  - Logan Doar 48  (1 anunturi)
  - Logan Duster Euro 6  (1 anunturi)
  - Logan Eco-G  (59 anunturi)
  - Logan Ecog  (1 anunturi)
  - Logan Editie 10 Ani  (1 anunturi)
  - Logan Esential  (2 anunturi)
  - Logan Essentiel  (10 anunturi)
  - Logan Euro 6  (2 anunturi)
  - Logan Fabricata  (1 anunturi)
  - Logan Ii  (2 anunturi)
  - Logan Ii Acces  (1 anunturi)
  - Logan Impecabila  (1 anunturi)
  - Logan Journey  (13 anunturi)
  - Logan Journey 2 - Eco G  (1 anunturi)
  - Logan Laureate  (51 anunturi)
  - Logan Lauriate  (1 anunturi)
  - Logan Led  (2 anunturi)
  - Logan Mcv  (89 anunturi)
  - Logan Mcv - - Option  (1 anunturi)
  - Logan Mcv 09  (1 anunturi)
  - Logan Mcv 09Tce  (3 anunturi)
  - Logan Mcv 15Dci  (1 anunturi)
  - Logan Mcv Ca Noua Doar 25  (1 anunturi)
  - Logan Mcv Duster  (1 anunturi)
  - Logan Mcv Editie Aniversara  (1 anunturi)
  - Logan Mcv Editie Aniversara 15  (1 anunturi)
  - Logan Mcv Euro 6  (1 anunturi)
  - Logan Mcv Foarta  (1 anunturi)
  - Logan Mcv Import Germania  (1 anunturi)
  - Logan Mcv Inclus  (1 anunturi)
  - Logan Mcv Laureate  (1 anunturi)
  - Logan Mcv Option  (1 anunturi)
  - Logan Mcv Rar Efectuat Carte  (1 anunturi)
  - Logan Mcv Romania  (1 anunturi)
  - Logan Mt6  (2 anunturi)
  - Logan Plus Sce 73  (1 anunturi)
  - Logan Sandero 2 09 Euro 6  (1 anunturi)
  - Logan Sandero Laurreat Distrbutie  (1 anunturi)
  - Logan Sce 65  (5 anunturi)
  - Logan Sce 75  (1 anunturi)
  - Logan Sl Plus  (1 anunturi)
  - Logan Stepyaw  (1 anunturi)
  - Logan Taxi  (1 anunturi)
  - Logan Techroad  (1 anunturi)
  - Logan Turbo  (1 anunturi)
  - Logan Van  (2 anunturi)
  - Logan Ver  (2 anunturi)
  - Logan Ver-5-Locuri  (1 anunturi)
  - Logan Xx  (1 anunturi)
  - Logan-Mcv--Ii-2  (1 anunturi)
  - Logan1  (1 anunturi)
  - Logantce 90  (1 anunturi)
  - Mcv  (3 anunturi)
  - Nu Sunt Dealerpoze Reale  (1 anunturi)
  - Sandero  (808 anunturi)
  - Sandero - 38000  (1 anunturi)
  - Sandero -23  (1 anunturi)
  - Sandero 09I  (1 anunturi)
  - Sandero 10I  (1 anunturi)
  - Sandero 10I Vindem In  (1 anunturi)
  - Sandero 10Tce  (1 anunturi)
  - Sandero 10Ti Eoc-G  (1 anunturi)
  - Sandero 11  (2 anunturi)
  - Sandero 15  (1 anunturi)
  - Sandero 15Dci  (2 anunturi)
  - Sandero 2 Cu  (1 anunturi)
  - Sandero 20  (1 anunturi)
  - Sandero 47K  (1 anunturi)
  - Sandero 69  (1 anunturi)
  - Sandero 7  (1 anunturi)
  - Sandero Acces  (3 anunturi)
  - Sandero Ambiance  (6 anunturi)
  - Sandero Avariat 09  (1 anunturi)
  - Sandero Blue  (4 anunturi)
  - Sandero Celebration  (1 anunturi)
  - Sandero Eco G  (1 anunturi)
  - Sandero Eco-G  (31 anunturi)
  - Sandero Essentiel  (10 anunturi)
  - Sandero Euro 5  (1 anunturi)
  - Sandero Iii  (1 anunturi)
  - Sandero Journey  (1 anunturi)
  - Sandero Laureate  (12 anunturi)
  - Sandero Sce 65  (3 anunturi)
  - Sandero Sce 65 Access  (1 anunturi)
  - Sandero Sce 75  (7 anunturi)
  - Sandero Sce 75 Acces  (5 anunturi)
  - Sandero Si Distributie Noua  (1 anunturi)
  - Sandero Sl Plus  (1 anunturi)
  - Sandero Stepway2 Prestige15  (1 anunturi)
  - Sandero Stepwey2023  (1 anunturi)
  - Sandero Ver-1-5  (1 anunturi)
  - Sandero Zero  (1 anunturi)
  - Sandero- -Ii  (2 anunturi)
  - Sandero- -Iv  (1 anunturi)
  - Sprig  (1 anunturi)
  - Spring  (166 anunturi)
  - Spring 268 Kwh  (8 anunturi)
  - Spring 45  (1 anunturi)
  - Spring 65  (1 anunturi)
  - Spring 65 2403  (1 anunturi)
  - Spring Automatik Klima Ruckfahrcam  (1 anunturi)
  - Spring Avariat Lovit  (2 anunturi)
  - Spring Cargo 45  (1 anunturi)
  - Spring Electrica  (3 anunturi)
  - Spring Klima Automatik Ruckfahrkam  (1 anunturi)
  - Spring Plus  (18 anunturi)

========================================
🚗 MARCA: Dodge (2 variante de model listate)
========================================
  - Charger  (2 anunturi)
  - Ram  (1 anunturi)

========================================
🚗 MARCA: Fiat (47 variante de model listate)
========================================
  - 500C Decapotabil  (1 anunturi)
  - 500E  (5 anunturi)
  - 500E 238Kwh Red  (1 anunturi)
  - 500E 24 Kwh  (1 anunturi)
  - 500E 42Kwh  (2 anunturi)
  - 500E 42Kwh C La Prima  (1 anunturi)
  - 500E 42Kwh Icon  (2 anunturi)
  - 500E Action  (5 anunturi)
  - 500E Icon  (5 anunturi)
  - 500E La Prima By Bocelli  (1 anunturi)
  - 500L  (11 anunturi)
  - 500L Ambreiaj Si Baterie Noi  (1 anunturi)
  - 500L Din  (1 anunturi)
  - 500L Living 7 Locuri  (1 anunturi)
  - 500X  (80 anunturi)
  - 500X 13L Firefly Ddct Fwd City Cross  (1 anunturi)
  - Doblo  (25 anunturi)
  - Doblo Maxi  (3 anunturi)
  - Duba Talento  (1 anunturi)
  - Ducato  (16 anunturi)
  - Ducato Cabinato Cd Pl H1 17Q  (2 anunturi)
  - Ducato L1H1  (1 anunturi)
  - Ducato L2  (1 anunturi)
  - Ducato L2H2  (1 anunturi)
  - Ducato Maxi  (1 anunturi)
  - Fiorino  (4 anunturi)
  - Freemont  (7 anunturi)
  - Fullback  (2 anunturi)
  - Grande Panda  (2 anunturi)
  - Masina Impecabila  (1 anunturi)
  - Panda  (28 anunturi)
  - Panda 4 4  (1 anunturi)
  - Punto  (5 anunturi)
  - Qubo  (2 anunturi)
  - Scudo  (2 anunturi)
  - Scudo 20Multijet  (1 anunturi)
  - Talento  (2 anunturi)
  - Talento L2H1 Basis  (1 anunturi)
  - Talento L2H1 Family  (1 anunturi)
  - Tipo  (99 anunturi)
  - Tipo 13  (1 anunturi)
  - Tipo 14  (1 anunturi)
  - Tipo 91  (1 anunturi)
  - Tipo Camera Masalier  (1 anunturi)
  - Tipo Cross 10I  (1 anunturi)
  - Tipo Easy  (2 anunturi)
  - Tipo Ver-1-6-Final  (1 anunturi)

========================================
🚗 MARCA: Ford (224 variante de model listate)
========================================
  - B Max  (1 anunturi)
  - B-Max  (18 anunturi)
  - B-Max Colourline  (1 anunturi)
  - C-Max  (42 anunturi)
  - C-Max 10I  (1 anunturi)
  - C-Max Cool Connect  (1 anunturi)
  - C-Max Energi Plug In  (1 anunturi)
  - C-Max Plug-In  (1 anunturi)
  - Courier  (25 anunturi)
  - Custom Frigorifica  (1 anunturi)
  - Custom Tourneo  (1 anunturi)
  - Eco Sport  (1 anunturi)
  - Eco2Sport  (1 anunturi)
  - Ecosport  (185 anunturi)
  - Ecosport 10 7200 Euro  (1 anunturi)
  - Ecosport 15Tdci  (1 anunturi)
  - Ecosport 1L  (1 anunturi)
  - Ecosport Compact  (1 anunturi)
  - Ecosport Portocaliu-Negru  (1 anunturi)
  - Ecosport Trend  (8 anunturi)
  - Ecosport Varianta  (1 anunturi)
  - Edge  (60 anunturi)
  - Edge 81  (1 anunturi)
  - Edge Bi-Turbo  (1 anunturi)
  - Edge Cu Kia Carens  (1 anunturi)
  - Edge Inteligent  (1 anunturi)
  - Edge Sport  (1 anunturi)
  - Fiesta  (383 anunturi)
  - Fiesta -Vii  (1 anunturi)
  - Fiesta 10I Trend Connected  (1 anunturi)
  - Fiesta 125 - Euro 6 - Face-Lift - Celebration - Unic Propietar - 96  (1 anunturi)
  - Fiesta 125 Celebration  (1 anunturi)
  - Fiesta 15 Tdci  (1 anunturi)
  - Fiesta 15Tdci  (3 anunturi)
  - Fiesta 6  (1 anunturi)
  - Fiesta Alb  (1 anunturi)
  - Fiesta Avariat  (1 anunturi)
  - Fiesta Celebration  (3 anunturi)
  - Fiesta Champions  (1 anunturi)
  - Fiesta Cool Connect  (1 anunturi)
  - Fiesta Dtc 10I  (1 anunturi)
  - Fiesta Ecobast  (1 anunturi)
  - Fiesta Led Sync3 Bo Keyless Distronic Blis  (1 anunturi)
  - Fiesta Mk6-Echipare - Euro 6  (1 anunturi)
  - Fiesta Pachet St  (1 anunturi)
  - Fiesta Rosu  (1 anunturi)
  - Fiesta Sync  (1 anunturi)
  - Fiesta Trend  (18 anunturi)
  - Fiesta X  (2 anunturi)
  - Focus  (1281 anunturi)
  - Focus - Pachet Titatnium X  (1 anunturi)
  - Focus -Iv  (1 anunturi)
  - Focus 1  (1 anunturi)
  - Focus 10L  (1 anunturi)
  - Focus 11  (1 anunturi)
  - Focus 15Ecoblue  (1 anunturi)
  - Focus 15Tdci  (5 anunturi)
  - Focus 16I Vindem In  (1 anunturi)
  - Focus 16Tdci  (1 anunturi)
  - Focus 3  (4 anunturi)
  - Focus 3 Ford  (1 anunturi)
  - Focus 4  (2 anunturi)
  - Focus 6 Tdci Euro 6  (1 anunturi)
  - Focus Ambiente  (1 anunturi)
  - Focus Anul  (2 anunturi)
  - Focus Brek  (1 anunturi)
  - Focus Cool Connect  (14 anunturi)
  - Focus De  (1 anunturi)
  - Focus Din  (1 anunturi)
  - Focus Euro6  (1 anunturi)
  - Focus Hb  (1 anunturi)
  - Focus Iii  (1 anunturi)
  - Focus Ingrijit  (1 anunturi)
  - Focus Led Sync3 Keyless Blis Hud  (1 anunturi)
  - Focus Mca Wagon  (1 anunturi)
  - Focus Mk2  (1 anunturi)
  - Focus Mk3  (12 anunturi)
  - Focus Mk3 Sportbreak  (1 anunturi)
  - Focus Mk4  (4 anunturi)
  - Focus Mk4 St  (1 anunturi)
  - Focus Mk4 Wagon  (1 anunturi)
  - Focus Mkiii  (1 anunturi)
  - Focus Power Shift 2  (1 anunturi)
  - Focus Se  (1 anunturi)
  - Focus St  (5 anunturi)
  - Focus St Mk35  (1 anunturi)
  - Focus Sw  (1 anunturi)
  - Focus Trend  (33 anunturi)
  - Focus Trend - Touch- Camera -Keyless  (1 anunturi)
  - Focus Trend Connected 10Ti  (1 anunturi)
  - Focus Turnier  (3 anunturi)
  - Focus X  (6 anunturi)
  - Fusion  (2 anunturi)
  - Galaxy  (14 anunturi)
  - Grand C-Max  (24 anunturi)
  - Grand C-Max 93250Km  (1 anunturi)
  - Grand C-Max Ver-2-0-Tdci-Start--Stopp--System  (1 anunturi)
  - K  (1 anunturi)
  - Ka  (11 anunturi)
  - Ka K Fiesta  (1 anunturi)
  - Kuga  (744 anunturi)
  - Kuga -Ii  (1 anunturi)
  - Kuga -Iii  (1 anunturi)
  - Kuga 15Dci  (1 anunturi)
  - Kuga 15Tdci 155400Km Perfecta  (1 anunturi)
  - Kuga 20D  (3 anunturi)
  - Kuga 4 4  (1 anunturi)
  - Kuga A8 20Ecobule  (1 anunturi)
  - Kuga Autoturism  (1 anunturi)
  - Kuga Camera Bord Digital Carplay - Finantare  (1 anunturi)
  - Kuga Cool Connect  (3 anunturi)
  - Kuga Gri  (1 anunturi)
  - Kuga Individual  (1 anunturi)
  - Kuga Mk2  (1 anunturi)
  - Kuga Powershift Trend Propietar  (1 anunturi)
  - Kuga Se  (1 anunturi)
  - Kuga Td Exceptionala  (1 anunturi)
  - Kuga Trend  (11 anunturi)
  - Kuga Ver-2-0----St--Line  (1 anunturi)
  - Kuga Ver-2-5-Du  (1 anunturi)
  - Kuga X  (18 anunturi)
  - Kuga X - 15  (1 anunturi)
  - Kuga X 15Ti  (1 anunturi)
  - Kuga- Prima Inmatriculare Ianuarie  (1 anunturi)
  - Mk5  (1 anunturi)
  - Modeo  (1 anunturi)
  - Mondeo  (433 anunturi)
  - Mondeo -Iv  (2 anunturi)
  - Mondeo 20Tdci  (4 anunturi)
  - Mondeo 5  (1 anunturi)
  - Mondeo Care Merita Sa Te Uiti  (1 anunturi)
  - Mondeo Ford Mk4  (1 anunturi)
  - Mondeo Ford Mondeo  (1 anunturi)
  - Mondeo Limited  (1 anunturi)
  - Mondeo Mark V  (1 anunturi)
  - Mondeo Mk 5  (1 anunturi)
  - Mondeo Mk 5 St  (1 anunturi)
  - Mondeo Mk4  (3 anunturi)
  - Mondeo Mk45  (1 anunturi)
  - Mondeo Mk5  (4 anunturi)
  - Mondeo Mk5 20Tdci  (1 anunturi)
  - Mondeo Pachet St  (1 anunturi)
  - Mondeo Tdci 2000Cm  (1 anunturi)
  - Mondeo Traveller Trend 20  (1 anunturi)
  - Mondeo Trend  (13 anunturi)
  - Mondeo Turnier  (1 anunturi)
  - Mondeo X Sport  (1 anunturi)
  - Mustang  (21 anunturi)
  - Mustang Mach E  (1 anunturi)
  - Puma  (358 anunturi)
  - Puma -Ii  (3 anunturi)
  - Puma 10  (2 anunturi)
  - Puma At7  (1 anunturi)
  - Puma Led  (1 anunturi)
  - Puma St Line  (1 anunturi)
  - Puma X  (7 anunturi)
  - Ranger  (16 anunturi)
  - Ranger Cabina Dubla Limited  (2 anunturi)
  - Ranger Cabina Dubla Wildtrack  (2 anunturi)
  - Ranger Cabina Dubla Xlt  (1 anunturi)
  - Ranger Limited  (2 anunturi)
  - Ranger Wildtrack  (2 anunturi)
  - Ranger Xlt  (1 anunturi)
  - Raptor  (1 anunturi)
  - S-Max  (24 anunturi)
  - S-Max S  (1 anunturi)
  - Smax  (1 anunturi)
  - Tourneo  (23 anunturi)
  - Tourneo Conect  (1 anunturi)
  - Tourneo Connect  (15 anunturi)
  - Tourneo Connect 15Ecoblue  (1 anunturi)
  - Tourneo Connect 15Tdci Start-Stop Trend  (1 anunturi)
  - Tourneo Connect Grand  (2 anunturi)
  - Tourneo Connect Grand 15Tdci Startstop  (1 anunturi)
  - Tourneo Connect Trend  (1 anunturi)
  - Tourneo Courier  (21 anunturi)
  - Tourneo Courier Trend  (5 anunturi)
  - Tourneo Curier  (1 anunturi)
  - Tourneo Custom  (2 anunturi)
  - Tourneo Custom Bus  (1 anunturi)
  - Tourneo-Courier  (2 anunturi)
  - Tourneo-Custom  (2 anunturi)
  - Tourneoconnect7 Locuriplafon Panoramic Service  (1 anunturi)
  - Transit  (162 anunturi)
  - Transit 20D  (1 anunturi)
  - Transit 22Tdci Vindem In  (1 anunturi)
  - Transit Connect  (33 anunturi)
  - Transit Connect Commercial Lwb  (5 anunturi)
  - Transit Connect Commercial Swb  (3 anunturi)
  - Transit Connect Tdci Editie Lunga 2Xusa Glisanta Cruise  (1 anunturi)
  - Transit Connect Trend  (4 anunturi)
  - Transit Courier  (3 anunturi)
  - Transit Courier 15Tdci  (1 anunturi)
  - Transit Custom  (41 anunturi)
  - Transit Custom 9 Locuri  (1 anunturi)
  - Transit Custom Bus Lwb L2H1 Trend  (1 anunturi)
  - Transit Custom Dciv  (9 anunturi)
  - Transit Custom Dciv Lwb L2H1 Base  (1 anunturi)
  - Transit Custom L1H1 Lkw Va Autm Trend  (1 anunturi)
  - Transit Custom L2H1 Lkw Va Mh Trend  (1 anunturi)
  - Transit Custom L2H1 Lkw Va Trend  (2 anunturi)
  - Transit Custom L2H1 Pkw Va Trend  (3 anunturi)
  - Transit Custom L2H1 Va Autm Trend  (1 anunturi)
  - Transit Custom L2H2 Va Basis  (1 anunturi)
  - Transit Custom Plug-In  (2 anunturi)
  - Transit Custom Swb L1H1 Trend  (1 anunturi)
  - Transit Custom Trail  (1 anunturi)
  - Transit Custom Trend  (9 anunturi)
  - Transit Custom Trend 340L 20Td 130Pk Cv  (1 anunturi)
  - Transit Custon  (1 anunturi)
  - Transit Doka - Cabina Dubla 7 Locuri - Bena  (1 anunturi)
  - Transit Fgs 3500Kg  (1 anunturi)
  - Transit L2 H3  (1 anunturi)
  - Transit L2H3 Va Basis  (1 anunturi)
  - Transit L3 Sasiu Dcab Rwd Base  (1 anunturi)
  - Transit L3H2 Trend  (2 anunturi)
  - Transit Prelata  (1 anunturi)
  - Transit Trend  (7 anunturi)
  - Tranzit Conect  (1 anunturi)
  - Tranzit Coriera2024 Vand Sau 15  (1 anunturi)
  - Tranzit Frigorifica  (1 anunturi)
  - Trasit Custom  (1 anunturi)
  - Turneo Curier  (1 anunturi)
  - Turneo Euro 6  (1 anunturi)

========================================
🚗 MARCA: Honda (35 variante de model listate)
========================================
  - Accord  (2 anunturi)
  - Accord 2 Litri Si  (1 anunturi)
  - Accord 20I Mt Executive  (1 anunturi)
  - Accord Lifestyle  (1 anunturi)
  - Civic  (144 anunturi)
  - Civic 18I Sport  (1 anunturi)
  - Civic 4D  (2 anunturi)
  - Civic 5D  (2 anunturi)
  - Civic D4  (1 anunturi)
  - Civic Es  (1 anunturi)
  - Civic Executive  (2 anunturi)
  - Civic Fk7 Sport Plus  (1 anunturi)
  - Civic Ls  (1 anunturi)
  - Civic Sport  (6 anunturi)
  - Civic Sport Plus  (3 anunturi)
  - Civic X  (5 anunturi)
  - Civic X Executive  (1 anunturi)
  - Civic X Sport  (1 anunturi)
  - Civic X Sport Plus  (1 anunturi)
  - Cr-V  (38 anunturi)
  - Cr-V 16I Dtec 2Wd City  (1 anunturi)
  - Cr-V 16I Dtec Automatik Executive  (1 anunturi)
  - Cr-V 16I Dtec Lifestyle  (1 anunturi)
  - Cr-V 20I-Vtec Automatik Executive  (1 anunturi)
  - Cr-V Decembrie  (1 anunturi)
  - Cr-V Executive  (4 anunturi)
  - Crv  (1 anunturi)
  - Crv 44  (1 anunturi)
  - E Advance  (1 anunturi)
  - H-Rv  (1 anunturi)
  - Honda E  (1 anunturi)
  - Honda E Advance  (1 anunturi)
  - Hr-V  (12 anunturi)
  - Hr-V Executive  (1 anunturi)
  - Jazz  (10 anunturi)

========================================
🚗 MARCA: Hyundai (121 variante de model listate)
========================================
  - Bayon  (69 anunturi)
  - Bayon 1200 Cm Cubi Noiembrie 2 13500 Euro  (1 anunturi)
  - Bayon Carplay Androidauto Camera - Finantare - Garan  (1 anunturi)
  - Bayon Led Line  (1 anunturi)
  - Bayon Led Line 13500 Euro  (1 anunturi)
  - Bayon Trend  (1 anunturi)
  - Bayone Led Line  (1 anunturi)
  - Elantra  (62 anunturi)
  - Elantra 16 Highway  (1 anunturi)
  - Elantra 16Crdi  (1 anunturi)
  - Elantra 20Mpi  (1 anunturi)
  - Elantra Cn7  (1 anunturi)
  - Grand Santa Fe  (11 anunturi)
  - Grand Santa Fe Unicat  (1 anunturi)
  - H-1  (2 anunturi)
  - I 10  (2 anunturi)
  - I 20 Propietar  (1 anunturi)
  - I 30 Wagon  (1 anunturi)
  - I10  (150 anunturi)
  - I10 07  (1 anunturi)
  - I10 74000  (1 anunturi)
  - I10 Amt Highway  (1 anunturi)
  - I10 Classic  (1 anunturi)
  - I10 Euro 6  (2 anunturi)
  - I10-Aproape  (1 anunturi)
  - I20  (255 anunturi)
  - I20 125  (7 anunturi)
  - I20 125 Mt Led Line  (2 anunturi)
  - I20 12L  (1 anunturi)
  - I20 Alb  (1 anunturi)
  - I20 Blue  (3 anunturi)
  - I20 Classic  (1 anunturi)
  - I20 Euro 5  (1 anunturi)
  - I20 Intro  (1 anunturi)
  - I20 T-Gdi  (1 anunturi)
  - I20 Tesla 77000Km  (2 anunturi)
  - I20 Trend  (1 anunturi)
  - I3  (1 anunturi)
  - I3 Gdi  (1 anunturi)
  - I30  (266 anunturi)
  - I30 2012  (1 anunturi)
  - I30 Blue  (1 anunturi)
  - I30 Classic  (3 anunturi)
  - I30 Euro 6  (2 anunturi)
  - I30 N Line  (1 anunturi)
  - I30 Passion  (1 anunturi)
  - I30 Premium  (1 anunturi)
  - I40  (48 anunturi)
  - I40 17Crdi  (1 anunturi)
  - I40 Camerapanoramic Supreme Pack  (1 anunturi)
  - I40 I40Cw  (4 anunturi)
  - I40 Premium  (1 anunturi)
  - I40 Trend  (1 anunturi)
  - Iiniq  (1 anunturi)
  - Inster  (2 anunturi)
  - Inster 42 Kwh  (1 anunturi)
  - Inster 49 Kwh  (1 anunturi)
  - Ionic Plug In  (1 anunturi)
  - Ioniq  (141 anunturi)
  - Ioniq 5  (1 anunturi)
  - Ioniq 774 Kwh Uniq  (1 anunturi)
  - Ioniq Advantage  (2 anunturi)
  - Ioniq Eco  (1 anunturi)
  - Ioniq Elektro Trend  (1 anunturi)
  - Ioniq Hyundai Ioniq 16  (1 anunturi)
  - Ioniq Plagin  (1 anunturi)
  - Ioniq Plug-In  (1 anunturi)
  - Ioniq Premium  (5 anunturi)
  - Ioniq Trend  (2 anunturi)
  - Ix20  (3 anunturi)
  - Ix20 16I  (1 anunturi)
  - Ix35  (95 anunturi)
  - Ix35 - 11  (1 anunturi)
  - Ix35 Blue  (1 anunturi)
  - Ix35 Finale  (1 anunturi)
  - Ix35 Noiembrie  (1 anunturi)
  - Ix35 Premium  (2 anunturi)
  - Ix35 Trend  (1 anunturi)
  - Kona  (264 anunturi)
  - Kona 12Ooo  (1 anunturi)
  - Kona 30  (1 anunturi)
  - Kona Advantage  (4 anunturi)
  - Kona Avariat  (1 anunturi)
  - Kona Bev  (1 anunturi)
  - Kona Mild  (1 anunturi)
  - Kona Plus  (1 anunturi)
  - Kona Premium  (9 anunturi)
  - Kona Prime  (2 anunturi)
  - Kona Select  (6 anunturi)
  - Kona Standard  (1 anunturi)
  - Kona Trend  (7 anunturi)
  - Santa Fe  (49 anunturi)
  - Santa Fe 3  (1 anunturi)
  - Santa Fe Blue  (3 anunturi)
  - Santa Fe Grand  (1 anunturi)
  - Santa Fe Premium  (5 anunturi)
  - Sonata  (6 anunturi)
  - Tucson  (442 anunturi)
  - Tucson - Unic  (1 anunturi)
  - Tucson -Iii  (1 anunturi)
  - Tucson 16 T-Gdi  (1 anunturi)
  - Tucson 16I 2Wd  (1 anunturi)
  - Tucson 17  (1 anunturi)
  - Tucson Advantage  (4 anunturi)
  - Tucson Blue  (56 anunturi)
  - Tucson De Vinzare  (1 anunturi)
  - Tucson Htrac  (1 anunturi)
  - Tucson Intro  (1 anunturi)
  - Tucson Mild  (1 anunturi)
  - Tucson N Line  (5 anunturi)
  - Tucson Nx4  (1 anunturi)
  - Tucson Options  (1 anunturi)
  - Tucson Passion  (1 anunturi)
  - Tucson Passion Plus  (1 anunturi)
  - Tucson Premium  (15 anunturi)
  - Tucson Prime  (2 anunturi)
  - Tucson Select  (8 anunturi)
  - Tucson Trend  (3 anunturi)
  - Tucson Xpossible  (1 anunturi)
  - Tucson Xpossible Rar Efectuat Baterie Noua Service  (1 anunturi)
  - Tuson  (1 anunturi)

========================================
🚗 MARCA: Jaguar (41 variante de model listate)
========================================
  - E-Pace  (34 anunturi)
  - E-Pace D150  (3 anunturi)
  - E-Pace D150 Base  (1 anunturi)
  - E-Pace D150 Hse  (1 anunturi)
  - E-Pace D150 R-Dynamic S  (2 anunturi)
  - E-Pace D150 S  (7 anunturi)
  - E-Pace D165 Se  (1 anunturi)
  - E-Pace D180 R-Dynamic Hse  (2 anunturi)
  - E-Pace D180 R-Dynamic S  (1 anunturi)
  - E-Pace P200 R-Dynamic Hse  (1 anunturi)
  - E-Pace P200 R-Dynamic S  (1 anunturi)
  - E-Pace P200 R-Dynamic Se  (1 anunturi)
  - E-Pace P200 S  (1 anunturi)
  - E-Pace R-Dynamic  (6 anunturi)
  - E-Pace S  (5 anunturi)
  - E-Pace Se  (1 anunturi)
  - F Pace  (2 anunturi)
  - F Pace Defect  (1 anunturi)
  - F Pace Euro 6 Panoramic  (2 anunturi)
  - F-Pace  (101 anunturi)
  - F-Pace 1  (1 anunturi)
  - F-Pace D300  (1 anunturi)
  - F-Pace Portfolio  (1 anunturi)
  - F-Pace R-Sport  (5 anunturi)
  - I-Pace  (3 anunturi)
  - I-Pace Ev400  (1 anunturi)
  - I-Pace Ev400 Hse  (1 anunturi)
  - X-Type  (1 anunturi)
  - Xe  (49 anunturi)
  - Xe 20D  (1 anunturi)
  - Xe D180 R-Dynamic Se  (1 anunturi)
  - Xe D180 Se  (1 anunturi)
  - Xe Line - O Masina Cu Caracter Exceptionala  (1 anunturi)
  - Xe Portfolio  (1 anunturi)
  - Xe R Sport Schimbata Distributia La 173000  (1 anunturi)
  - Xe R-Sport  (2 anunturi)
  - Xf  (36 anunturi)
  - Xf 22D Premium  (2 anunturi)
  - Xf 25T Rwd Portfolio  (1 anunturi)
  - Xf Sportbrake R-Sport  (1 anunturi)
  - Xj  (4 anunturi)

========================================
🚗 MARCA: Jeep (38 variante de model listate)
========================================
  - Avenger  (57 anunturi)
  - Avenger Longitude  (1 anunturi)
  - Cheroke  (1 anunturi)
  - Cherokee  (34 anunturi)
  - Cherokee Limited  (3 anunturi)
  - Cherokee Longitude  (1 anunturi)
  - Cherokee Overland  (1 anunturi)
  - Compass  (96 anunturi)
  - Compass 13T 4Xe At6  (3 anunturi)
  - Compass 80Th Anniversary  (2 anunturi)
  - Compass Limited  (10 anunturi)
